
             Fundamental Physical Constants --- Complete Listing


  From:  http://physics.nist.gov/constants



  Quantity                                                       Value                 Uncertainty           Unit
-----------------------------------------------------------------------------------------------------------------------------
{220} lattice spacing of silicon                            1.920 155 714 e-10       
alpha particle-electron mass ratio                          7294.299 541 36          
alpha particle mass                                         6.644 657 230 e-27       
alpha particle mass energy equivalent                       5.971 920 097 e-10       
alpha particle mass energy equivalent in MeV                3727.379 378             
alpha particle mass in u                                    4.001 506 179 127        
alpha particle molar mass                                   4.001 506 179 127 e-3    
alpha particle-proton mass ratio                            3.972 599 689 07         
Angstrom star                                               1.000 014 95 e-10        
atomic mass constant                                        1.660 539 040 e-27       
atomic mass constant energy equivalent                      1.492 418 062 e-10       
atomic mass constant energy equivalent in MeV               931.494 0954             
atomic mass unit-electron volt relationship                 9.314 940 954 e8         
atomic mass unit-hartree relationship                       3.423 177 6902 e7        
atomic mass unit-hertz relationship                         2.252 342 7206 e23       
atomic mass unit-inverse meter relationship                 7.513 006 6166 e14       
atomic mass unit-joule relationship                         1.492 418 062 e-10       
atomic mass unit-kelvin relationship                        1.080 954 38 e13         
atomic mass unit-kilogram relationship                      1.660 539 040 e-27       
atomic unit of 1st hyperpolarizability                      3.206 361 329 e-53       
atomic unit of 2nd hyperpolarizability                      6.235 380 085 e-65       
atomic unit of action                                       1.054 571 800 e-34       
atomic unit of charge                                       1.602 176 6208 e-19      
atomic unit of charge density                               1.081 202 3770 e12       
atomic unit of current                                      6.623 618 183 e-3        
atomic unit of electric dipole mom.                         8.478 353 552 e-30       
atomic unit of electric field                               5.142 206 707 e11        
atomic unit of electric field gradient                      9.717 362 356 e21        
atomic unit of electric polarizability                      1.648 777 2731 e-41      
atomic unit of electric potential                           27.211 386 02            
atomic unit of electric quadrupole mom.                     4.486 551 484 e-40       
atomic unit of energy                                       4.359 744 650 e-18       
atomic unit of force                                        8.238 723 36 e-8         
atomic unit of length                                       5.291 772 1067 e-11      
atomic unit of mag. dipole mom.                             1.854 801 999 e-23       
atomic unit of mag. flux density                            2.350 517 550 e5         
atomic unit of magnetizability                              7.891 036 5886 e-29      
atomic unit of mass                                         9.109 383 56 e-31        
atomic unit of mom.um                                       1.992 851 882 e-24       
atomic unit of permittivity                                 1.112 650 056 e-10       
atomic unit of time                                         2.418 884 326 509 e-17   
atomic unit of velocity                                     2.187 691 262 77 e6      
Avogadro constant                                           6.022 140 857 e23        
Bohr magneton                                               9.274 009 994 e-24       
Bohr magneton in eV/T                                       5.788 381 8012 e-5       
Bohr magneton in Hz/T                                       1.399 624 5042 e10       
Bohr magneton in inverse meters per tesla                   46.686 448 14            
Bohr magneton in K/T                                        0.671 714 05             
Bohr radius                                                 5.291 772 1067 e-11      
Boltzmann constant                                          1.380 648 52 e-23        
Boltzmann constant in eV/K                                  8.617 3303 e-5           
Boltzmann constant in Hz/K                                  2.083 6612 e10           
Boltzmann constant in inverse meters per kelvin             69.503 457               
characteristic impedance of vacuum                          376.730 313 461          
classical electron radius                                   2.817 940 3227 e-15      
Compton wavelength                                          2.426 310 2367 e-12      
Compton wavelength over 2 pi                                3.861 592 6764 e-13      
conductance quantum                                         7.748 091 7310 e-5       
