
             Fundamental Physical Constants --- Complete Listing


  From:  http://physics.nist.gov/constants



  Quantity                                                       Value                 Uncertainty           Unit
-----------------------------------------------------------------------------------------------------------------------------
{220} lattice spacing of silicon                            1.920 155 714 e-10       
alpha particle-electron mass ratio                          7294.299 5361            
alpha particle mass                                         6.644 656 75 e-27        
alpha particle mass energy equivalent                       5.971 919 67 e-10        
alpha particle mass energy equivalent in MeV                3727.379 240             
alpha particle mass in u                                    4.001 506 179 125        
alpha particle molar mass                                   4.001 506 179 125 e-3    
alpha particle-proton mass ratio                            3.972 599 689 33         
Angstrom star                                               1.000 014 95 e-10        
atomic mass constant                                        1.660 538 921 e-27       
atomic mass constant energy equivalent                      1.492 417 954 e-10       
atomic mass constant energy equivalent in MeV               931.494 061              
atomic mass unit-electron volt relationship                 9.314 940 61 e8          
atomic mass unit-hartree relationship                       3.423 177 6845 e7        
atomic mass unit-hertz relationship                         2.252 342 7168 e23       
atomic mass unit-inverse meter relationship                 7.513 006 6042 e14       
atomic mass unit-joule relationship                         1.492 417 954 e-10       
atomic mass unit-kelvin relationship                        1.080 954 08 e13         
atomic mass unit-kilogram relationship                      1.660 538 921 e-27       
atomic unit of 1st hyperpolarizability                      3.206 361 449 e-53       
atomic unit of 2nd hyperpolarizability                      6.235 380 54 e-65        
atomic unit of action                                       1.054 571 726 e-34       
atomic unit of charge                                       1.602 176 565 e-19       
atomic unit of charge density                               1.081 202 338 e12        
atomic unit of current                                      6.623 617 95 e-3         
atomic unit of electric dipole mom.                         8.478 353 26 e-30        
atomic unit of electric field                               5.142 206 52 e11         
atomic unit of electric field gradient                      9.717 362 00 e21         
atomic unit of electric polarizability                      1.648 777 2754 e-41      
atomic unit of electric potential                           27.211 385 05            
atomic unit of electric quadrupole mom.                     4.486 551 331 e-40       
atomic unit of energy                                       4.359 744 34 e-18        
atomic unit of force                                        8.238 722 78 e-8         
atomic unit of length                                       5.291 772 1092 e-11      
atomic unit of mag. dipole mom.                             1.854 801 936 e-23       
atomic unit of mag. flux density                            2.350 517 464 e5         
atomic unit of magnetizability                              7.891 036 607 e-29       
atomic unit of mass                                         9.109 382 91 e-31        
atomic unit of mom.um                                       1.992 851 740 e-24       
atomic unit of permittivity                                 1.112 650 056 e-10       
atomic unit of time                                         2.418 884 326 502 e-17   
atomic unit of velocity                                     2.187 691 263 79 e6      
Avogadro constant                                           6.022 141 29 e23         
Bohr magneton                                               9.274 009 68 e-24        
Bohr magneton in eV/T                                       5.788 381 8066 e-5       
Bohr magneton in Hz/T                                       1.399 624 555 e10        
Bohr magneton in inverse meters per tesla                   46.686 4498              
Bohr magneton in K/T                                        0.671 713 88             
Bohr radius                                                 5.291 772 1092 e-11      
Boltzmann constant                                          1.380 6488 e-23          
Boltzmann constant in eV/K                                  8.617 3324 e-5           
Boltzmann constant in Hz/K                                  2.083 6618 e10           
Boltzmann constant in inverse meters per kelvin             69.503 476               
characteristic impedance of vacuum                          376.730 313 461          
classical electron radius                                   2.817 940 3267 e-15      
Compton wavelength                                          2.426 310 2389 e-12      
Compton wavelength over 2 pi                                3.861 592 6800 e-13      
conductance quantum                                         7.748 091 7346 e-5       
