
             Fundamental Physical Constants --- Complete Listing
             2018 CODATA adjustment


  From:  http://physics.nist.gov/constants



  Quantity                                                       Value                 Uncertainty           Unit
-----------------------------------------------------------------------------------------------------------------------------
alpha particle-electron mass ratio                          7294.299 541 42          
alpha particle mass                                         6.644 657 3357 e-27      
alpha particle mass energy equivalent                       5.971 920 1914 e-10      
alpha particle mass energy equivalent in MeV                3727.379 4066            
alpha particle mass in u                                    4.001 506 179 127        
alpha particle molar mass                                   4.001 506 1777 e-3       
alpha particle-proton mass ratio                            3.972 599 690 09         
alpha particle relative atomic mass                         4.001 506 179 127        
Angstrom star                                               1.000 014 95 e-10        
atomic mass constant                                        1.660 539 066 60 e-27    
atomic mass constant energy equivalent                      1.492 418 085 60 e-10    
atomic mass constant energy equivalent in MeV               931.494 102 42           
atomic mass unit-electron volt relationship                 9.314 941 0242 e8        
atomic mass unit-hartree relationship                       3.423 177 6874 e7        
atomic mass unit-hertz relationship                         2.252 342 718 71 e23     
atomic mass unit-inverse meter relationship                 7.513 006 6104 e14       
atomic mass unit-joule relationship                         1.492 418 085 60 e-10    
atomic mass unit-kelvin relationship                        1.080 954 019 16 e13     
atomic mass unit-kilogram relationship                      1.660 539 066 60 e-27    
atomic unit of 1st hyperpolarizability                      3.206 361 3061 e-53      
atomic unit of 2nd hyperpolarizability                      6.235 379 9905 e-65      
atomic unit of action                                       1.054 571 817 e-34       
atomic unit of charge                                       1.602 176 634 e-19       
atomic unit of charge density                               1.081 202 384 57 e12     
atomic unit of current                                      6.623 618 237 510 e-3    
atomic unit of electric dipole mom.                         8.478 353 6255 e-30      
atomic unit of electric field                               5.142 206 747 63 e11     
atomic unit of electric field gradient                      9.717 362 4292 e21       
atomic unit of electric polarizability                      1.648 777 274 36 e-41    
atomic unit of electric potential                           27.211 386 245 988       
atomic unit of electric quadrupole mom.                     4.486 551 5246 e-40      
atomic unit of energy                                       4.359 744 722 2071 e-18  
atomic unit of force                                        8.238 723 4983 e-8       
atomic unit of length                                       5.291 772 109 03 e-11    
atomic unit of mag. dipole mom.                             1.854 802 015 66 e-23    
atomic unit of mag. flux density                            2.350 517 567 58 e5      
atomic unit of magnetizability                              7.891 036 6008 e-29      
atomic unit of mass                                         9.109 383 7015 e-31      
atomic unit of momentum                                     1.992 851 914 10 e-24    
atomic unit of permittivity                                 1.112 650 055 45 e-10    
atomic unit of time                                         2.418 884 326 5857 e-17  
atomic unit of velocity                                     2.187 691 263 64 e6      
Avogadro constant                                           6.022 140 76 e23         
Bohr magneton                                               9.274 010 0783 e-24      
Bohr magneton in eV/T                                       5.788 381 8060 e-5       
Bohr magneton in Hz/T                                       1.399 624 493 61 e10     
Bohr magneton in inverse meter per tesla                    46.686 447 783           
Bohr magneton in K/T                                        0.671 713 815 63         
Bohr radius                                                 5.291 772 109 03 e-11    
Boltzmann constant                                          1.380 649 e-23           
Boltzmann constant in eV/K                                  8.617 333 262 e-5        
Boltzmann constant in Hz/K                                  2.083 661 912 e10        
Boltzmann constant in inverse meter per kelvin              69.503 480 04            
characteristic impedance of vacuum                          376.730 313 668          
classical electron radius                                   2.817 940 3262 e-15      
